year,fips,heroin_death_rate,heroin_deaths,heroin_treatment_rate,heroin_treatments,hospitalization_rate,hospitalizations,methadone_treatment_rate,methadone_treatments,naloxone_providers,overdose_rate,overdoses,pain_reliever_death_rate,pain_reliever_deaths,county
2011,18,,,32.9,2147.0,2.7,173.0,2.2,144.0,,28.5,1856.0,,,INDIANA
2011,18001,,,75.6,26.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Adams
2011,18003,,,9.8,35.0,0.0,0.0,2.8,10.0,,14.0,50.0,,,Allen
2011,18005,,,0.0,0.0,0.0,0.0,0.0,0.0,,19.3,15.0,,,Bartholomew
2011,18007,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Benton
2011,18009,,,0.0,0.0,0.0,0.0,0.0,0.0,,63.5,8.0,,,Blackford
2011,18011,,,48.7,28.0,0.0,0.0,0.0,0.0,,31.3,18.0,,,Boone
2011,18013,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Brown
2011,18015,,,30.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Carroll
2011,18017,,,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,7.0,,,Cass
2011,18019,,,11.7,13.0,0.0,0.0,0.0,0.0,,29.6,33.0,,,Clark
2011,18021,,,0.0,0.0,0.0,0.0,0.0,0.0,,33.5,9.0,,,Clay
2011,18023,,,0.0,0.0,0.0,0.0,0.0,0.0,,63.4,21.0,,,Clinton
2011,18025,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Crawford
2011,18027,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Daviess
2011,18029,,,116.0,58.0,0.0,0.0,0.0,0.0,,14.0,7.0,,,Dearborn
2011,18031,,,0.0,0.0,0.0,0.0,0.0,0.0,,46.4,12.0,,,Decatur
2011,18033,,,0.0,0.0,0.0,0.0,0.0,0.0,,18.8,8.0,,,DeKalb
2011,18035,,,10.2,12.0,0.0,0.0,6.8,8.0,,11.9,14.0,,,Delaware
2011,18037,,,0.0,0.0,0.0,0.0,0.0,0.0,,14.2,6.0,,,Dubois
2011,18039,,,7.5,15.0,0.0,0.0,0.0,0.0,,11.6,23.0,,,Elkhart
2011,18041,,,20.6,5.0,0.0,0.0,0.0,0.0,,49.4,12.0,,,Fayette
2011,18043,,,17.3,13.0,0.0,0.0,0.0,0.0,,25.3,19.0,,,Floyd
2011,18045,,,46.5,8.0,0.0,0.0,0.0,0.0,,29.0,5.0,,,Fountain
2011,18047,,,26.0,6.0,0.0,0.0,0.0,0.0,,34.7,8.0,,,Franklin
2011,18049,,,0.0,0.0,0.0,0.0,0.0,0.0,,33.5,7.0,,,Fulton
2011,18051,,,0.0,0.0,0.0,0.0,0.0,0.0,,20.9,7.0,,,Gibson
2011,18053,,,0.0,0.0,0.0,0.0,0.0,0.0,,28.7,20.0,,,Grant
2011,18055,,,0.0,0.0,0.0,0.0,0.0,0.0,,15.2,5.0,,,Greene
2011,18057,,,25.5,72.0,0.0,0.0,0.0,0.0,,20.2,57.0,,,Hamilton
2011,18059,,,7.1,5.0,0.0,0.0,0.0,0.0,,28.4,20.0,,,Hancock
2011,18061,,,17.8,7.0,0.0,0.0,0.0,0.0,,40.7,16.0,,,Harrison
2011,18063,,,30.4,45.0,0.0,0.0,0.0,0.0,,33.1,49.0,,,Hendricks
2011,18065,,,22.3,11.0,0.0,0.0,0.0,0.0,,22.3,11.0,,,Henry
2011,18067,,,25.4,21.0,0.0,0.0,29.0,24.0,,61.6,51.0,,,Howard
2011,18069,,,0.0,0.0,0.0,0.0,0.0,0.0,,40.3,15.0,,,Huntington
2011,18071,,,34.9,15.0,0.0,0.0,0.0,0.0,,25.6,11.0,,,Jackson
2011,18073,,,20.9,7.0,18.0,6.0,0.0,0.0,,29.9,10.0,,,Jasper
2011,18075,,,0.0,0.0,0.0,0.0,0.0,0.0,,42.2,9.0,,,Jay
2011,18077,,,0.0,0.0,0.0,0.0,0.0,0.0,,37.2,12.0,,,Jefferson
2011,18079,,,0.0,0.0,0.0,0.0,0.0,0.0,,39.0,11.0,,,Jennings
2011,18081,,,23.3,33.0,0.0,0.0,0.0,0.0,,33.2,47.0,,,Johnson
2011,18083,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Knox
2011,18085,,,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,17.0,,,Kosciusko
