LAUS Code,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Geolocation
CN2112700000000,21,127,Lawrence County,KY,01/01/2015 12:00:00 AM,5099,4626,473,9.3,"Lawrence County, KY
(38.034294, -84.895387)"
CN2919700000000,29,197,Schuyler County,MO,01/01/2015 12:00:00 AM,1920,1809,111,5.8,"Schuyler County, MO
(40.066399, -91.673302)"
CN1910300000000,19,103,Johnson County,IA,01/01/2015 12:00:00 AM,83993,81714,2279,2.7,"Johnson County, IA
(41.1217, -93.724701)"
CN2201500000000,22,015,Bossier Parish,LA,01/01/2015 12:00:00 AM,58284,54988,3296,5.7,"Bossier Parish, LA
(29.867201, -91.076103)"
CN2107500000000,21,075,Fulton County,KY,01/01/2015 12:00:00 AM,2070,1912,158,7.6,"Fulton County, KY
(36.504024, -88.875349)"
CN2900900000000,29,009,Barry County,MO,01/01/2015 12:00:00 AM,15011,14262,749,5,"Barry County, MO
(38.712573, -90.360264)"
CN2117500000000,21,175,Morgan County,KY,01/01/2015 12:00:00 AM,4472,4107,365,8.2,"Morgan County, KY
(37.683805, -87.916792)"
CN2611700000000,26,117,Montcalm County,MI,01/01/2015 12:00:00 AM,27670,26094,1576,5.7,"Montcalm County, MI
(43.418635, -86.362652)"
CN2904100000000,29,041,Chariton County,MO,01/01/2015 12:00:00 AM,3879,3697,182,4.7,"Chariton County, MO
(37.263331, -94.306759)"
CN1909700000000,19,097,Jackson County,IA,01/01/2015 12:00:00 AM,11183,10704,479,4.3,"Jackson County, IA
(43.114044, -92.033225)"
CN3000300000000,30,003,Big Horn County,MT,01/01/2015 12:00:00 AM,5571,5200,371,6.7,"Big Horn County, MT
(46.161701, -107.448097)"
CN2100300000000,21,003,Allen County,KY,01/01/2015 12:00:00 AM,8541,8121,420,4.9,"Allen County, KY
(36.718012, -87.068529)"
CN1900500000000,19,005,Allamakee County,IA,01/01/2015 12:00:00 AM,7711,7328,383,5,"Allamakee County, IA
(41.723684, -90.714136)"
CN1912900000000,19,129,Mills County,IA,01/01/2015 12:00:00 AM,7437,7128,309,4.2,"Mills County, IA
(41.706976, -92.552139)"
CN2608300000000,26,083,Keweenaw County,MI,01/01/2015 12:00:00 AM,938,852,86,9.2,"Keweenaw County, MI
(43.1422, -83.172798)"
CN2717100000000,27,171,Wright County,MN,01/01/2015 12:00:00 AM,71438,68795,2643,3.7,"Wright County, MN
(46.273899, -95.185799)"
CN2707900000000,27,079,Le Sueur County,MN,01/01/2015 12:00:00 AM,15420,14672,748,4.9,"Le Sueur County, MN
(43.829179, -91.308221)"
CN1917500000000,19,175,Union County,IA,01/01/2015 12:00:00 AM,6586,6306,280,4.3,"Union County, IA
(43.477101, -91.465751)"
